Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
,,,,,,,
Test Cases/Butonlar/ButonVarMi,Chrome 94.0.4606.81,,,2021-10-15 17:20:41,2021-10-15 17:20:41,"0,391s",PASSED
"Method.TextDegerineEsitElementVarMi(findTestObject(""Butonlar/Butonlar""), Buton)",Chrome 94.0.4606.81,,,2021-10-15 17:20:41,2021-10-15 17:20:41,"0,387s",PASSED
,,,,,,,
Test Cases/Butonlar/ButonVarMi,Chrome 94.0.4606.81,,,2021-10-15 17:20:42,2021-10-15 17:20:42,"0,363s",PASSED
"Method.TextDegerineEsitElementVarMi(findTestObject(""Butonlar/Butonlar""), Buton)",Chrome 94.0.4606.81,,,2021-10-15 17:20:42,2021-10-15 17:20:42,"0,360s",PASSED
,,,,,,,
Test Cases/Kullanici_Islemleri/KullaniciIslemlerindenSecimYapilir,Chrome 94.0.4606.81,,,2021-10-15 17:20:42,2021-10-15 17:20:45,"3,028s",PASSED
"waitForElementClickable(findTestObject(""Object Repository/Kullanici_Islemleri/KullaniciIslemleri""), 10)",Chrome 94.0.4606.81,,,2021-10-15 17:20:42,2021-10-15 17:20:42,"0,354s",PASSED
"click(findTestObject(""Object Repository/Kullanici_Islemleri/KullaniciIslemleri""))",Chrome 94.0.4606.81,,,2021-10-15 17:20:42,2021-10-15 17:20:43,"0,391s",PASSED
"Method.TextDegerineEsitElementeTikla(findTestObject(""Object Repository/Kullanici_Islemleri/Secenekler""), Islem)",Chrome 94.0.4606.81,,,2021-10-15 17:20:43,2021-10-15 17:20:45,"1,801s",PASSED
"verifyElementNotPresent(findTestObject(""Object Repository/Kullanici_Islemleri/Secenekler""), 10)",Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,477s",PASSED
,,,,,,,
Start Test Case : SCENARIO e-Serbest Meslek Makbuzu Olusturma Buton Kontrolu,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,021s",PASSED
Kullanıcı adı ELOGO6 ve Şifre 123456 olarak giriş yapılır,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,000s",PASSED
Ana menüden e-Makbuz seçilir,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Alt menü e-Serbest Meslek Uygulaması başlığı altındaki e-Serbest Meslek Makbuzu Oluşturma seçilir,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,000s",PASSED
Filtre alanlarında Durumu var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Filtre alanlarında Oluşturma Tarihi var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Filtre alanlarında Toplam Tutar var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Filtre alanlarında Alıcı Unvan var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,002s",PASSED
Filtre alanlarında Makbuz Tarihi var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Filtre alanlarında Makbuz No var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,002s",PASSED
Filtre alanlarında Makbuz ETTN var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Filtre butonlarında Listele var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,000s",PASSED
Filtre butonlarında Temizle var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Butonlardan Ekle var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
Butonlardan Numara Oluştur var mı,Chrome 94.0.4606.81,,,2021-10-15 17:20:45,2021-10-15 17:20:45,"0,001s",PASSED
